Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
475,03/11/2009,2.0,3.0,4.0,005<= /td>,6.0,9.0,10.0,11.0,13.0,14.0,17.0,20.0,21.0,23.0,025,"R$10.833.4= 66,25",0.0,,433,13728,161087,821107,"R$= 0,00","R$1.204,84","R$12,50","R$5,00","R$2,50","R$2.500.000,00","R$0,00",
476,05/11/2009,1.0,5.0,6.0,007<= /td>,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,19.0,24.0,025,"R$17.651.6= 87,50",1.0,S=C3=83O PAULOSP,S=C3=83O PAULO,SP,424,23008,248333,1265772,"R= $2.359.556,64","R$1.523,70","R$12,50","R$5,00","R$2= ,50","R$0,00"
477,09/11/2009,2.0,4.0,6.0,007<= /td>,8.0,10.0,11.0,12.0,14.0,16.0,18.0,20.0,23.0,24.0,025,"R$17.599.6= 41,25",8.0,MANAUSAM FEIRA DE SANTANABA BELO HORIZONTEMG PORTO ALEGRERS CAMPINASSP ENGENHEIRO COELHOSP SANTO ANDR=C3=89SP,MANAUS,AM,FEIRA DE SANTANA,BA,BELO HORIZONTE,MG,PORTO ALEGRE,RS,CAMPINAS,SP,ENGENHEIRO COELHO,SP
478,12/11/2009,2.0,3.0,5.0,007<= /td>,9.0,10.0,11.0,12.0,13.0,16.0,18.0,22.0,23.0,24.0,025,"R$16.959.0= 21,25",7.0,JO=C3=83O PESSOAPB CAMARAGIBEPE SANTA MARIARS CURITIBANOSSC GUARULHOSSP S=C3=83O JOS=C3=89 DOS CAMPOSSP S=C3=83O VICENTESP,JO=C3=83O PESSOA,PB,CAMARAGIBE,PE,SANTA MARIA,RS,CURITIBANOS,SC,GUARULHOS,SP,S=C3=83O JOS=C3=89 DOS CAMPOS,SP
479,16/11/2009,2.0,3.0,5.0,008<= /td>,11.0,13.0,14.0,15.0,16.0,18.0,19.0,22.0,23.0,24.0,025,"R$17.307.5= 41,25",1.0,BONFIN=C3=93POLISGO,BONFIN=C3=93POLIS,GO,607,21383,258022,1403421,"R= $1.250.813,46","R$1.261,62","R$12,50","R$5,00","R$2= ,50","R$0,00"
480,19/11/2009,4.0,5.0,6.0,007<= /td>,8.0,9.0,11.0,12.0,15.0,17.0,18.0,19.0,22.0,24.0,025,"R$16.373.3= 83,75",2.0,BRAS=C3=8DLIADF PORTO ALEGRERS,BRAS=C3=8DLIA,DF,PORTO ALEGRE,RS,484,18602,214612,1132768,"R= $752.129,78","R$1.331,99","R$12,50","R$5,00"
481,23/11/2009,1.0,3.0,5.0,007<= /td>,9.0,10.0,12.0,13.0,14.0,15.0,17.0,20.0,21.0,22.0,024,"R$16.568.4= 22,50",7.0,FILAD=C3=89LFIABA IPATINGAMG JUIZ DE FORAMG CUIAB=C3=81MT JAGUARIA=C3=8DVAPR S=C3=83O PAULOSP UBATUBASP,FILAD=C3=89LFIA,BA,IPATINGA,MG,JUIZ DE FORA,MG,CUIAB=C3=81,MT,JAGUARIA=C3=8DVA,PR,S=C3=83O PAULO,SP
482,26/11/2009,2.0,6.0,7.0,008<= /td>,9.0,10.0,12.0,15.0,16.0,17.0,19.0,21.0,22.0,23.0,025,"R$16.016.5= 20,00",4.0,MANACAPURUAM EMBU-GUA=C3=87USP S=C3=83O PAULOSP S=C3=83O VICENTESP,MANACAPURU,AM,EMBU-GUA=C3=87U,SP,S=C3=83O PAULO,SP,S=C3=83O VICENTE,SP,242,11135,179422,989180
483,30/11/2009,1.0,4.0,5.0,006<= /td>,7.0,9.0,11.0,12.0,14.0,17.0,18.0,21.0,22.0,23.0,024,"R$16.793.5= 72,50",5.0,SALVADORBA MUQUIES CONTAGEMMG RIO DE JANEIRORJ MARCELINO RAMOSRS,SALVADOR,BA,MUQUI,ES,CONTAGEM,MG,RIO DE JANEIRO,RJ,MARCELINO RAMOS,RS,508,20378
484,03/12/2009,1.0,4.0,6.0,008<= /td>,9.0,10.0,11.0,13.0,14.0,16.0,17.0,20.0,21.0,23.0,025,"R$17.088.9= 46,25",3.0,GOI=C3=82NIAGO BAURUSP JA=C3=9ASP,GOI=C3=82NIA,GO,BAURU,SP,JA=C3=9A,SP,695,20032,224299,1109636,"R= $551.482,24","R$1.020,21"
